genre_category,artist_genres
Dance,"dance pop, edm, electronic trap, pop, pop dance, pop rap"
Dance,"dance pop, edm, electro house, pop, pop dance, tropical house"
Dance,"dance pop, edm, electro house, pop, pop dance, pop rap, tropical house"
Dance,"dance pop, edm, electro house, pop, pop dance, pop house, tropical house"
Dance,"dance pop, edm, electro house, pop, pop dance, pop edm, tropical house, uk pop"
Dance,"dance pop, edm, electro house, pop, pop dance, pop edm, tropical house"
Dance,"dance pop, edm, electro house, pop, pop dance, pop edm, swedish tropical house, tropical house, uk pop"
Dance,"dance pop, edm, electro house, pop, pop dance, pop edm, slap house, tropical house"
Dance,"dance pop, edm, electro house, pop dance, slap house, tropical house"
Dance,"dance pop, edm, electro house, pop dance, pop rap, tropical house"
Dance,"dance pop, edm, electro house, pop dance, pop edm, tropical house"
Dance,"dance pop, edm, electro house, norwegian pop, pop, pop dance, pop edm, tropical house, uk pop"
Dance,"dance pop, edm, electro house, moombahton, pop, pop dance, pop rap, tropical house"
Dance,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Dance,"dance pop, edm, electro house, house, pop, pop dance, pop rap, tropical house, uk dance, uk pop"
Dance,"dance pop, edm, electro house, house, pop dance, pop edm, tropical house"
Dance,"dance pop, edm, electro house, german dance, pop, pop dance, tropical house"
Dance,"dance pop, edm, electro house, german dance, pop dance, pop edm, tropical house"
Dance,"dance pop, edm, electro house, future house, house, pop dance, progressive electro house, progressive house, tropical house"
Dance,"dance pop, edm, electro house, electropop, pop, pop dance, tropical house, uk pop"
Dance,"dance pop, edm, electro house, electropop, pop, pop dance, pop edm, tropical house, uk pop"
Dance,"dance pop, edm, electro house, electropop, norwegian pop, pop, pop dance, pop edm, tropical house, uk pop"
Dance,"dance pop, edm, electro house, electropop, house, pop dance, tropical house"
Dance,"dance pop, edm, electro house, electropop, electropowerpop, pop, pop dance, pop edm, tropical house"
Hip-Hop,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, r&b, rap"
Dance,"dance pop, dutch house, edm, electro house, pop, pop dance, progressive electro house, slap house, tropical house"
Dance,"dance pop, dutch edm, edm, electro house, pop, pop dance, progressive house, tropical house"
Dance,"dance pop, downtempo, pop, post-teen pop, shiver pop"
Dance,"dance pop, disco, hi-nrg, new wave pop"
Dance,"dance pop, disco, europop, mellow gold, new romantic, new wave, new wave pop, soft rock, synthpop"
Dance,"dance pop, disco house, edm, electro house, filter house, house, pop dance, tropical house, vocal house"
Dance,"dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house"
Dance,"dance pop, danish pop, electropop, pop, tropical house, uk pop"
Dance,"dance pop, danish electronic, edm, electro house, pop, pop dance, pop edm, tropical house, uk pop"
Hip-Hop,"dance pop, dancehall, pop rap"
International,"cumbia, latin alternative, pop electronico, tropical alternativo"
International,cumbia pop
International,cumbia 420
International,"cubaton, reggaeton"
International,"cubaton, latin hip hop, latin pop"
International,"cubaton, dominican pop, pop venezolano, reggaeton, trap latino"
International,cubaton
Hip-Hop,"crunk, dirty south rap, gangster rap, hip hop, memphis hip hop, pop rap, rap, southern hip hop, trap"
Dance,"covertronica, dance pop, deep house, edm, electro house, pop dance, pop edm, tropical house"
Rock,"country, country rock"
Other,"country, country dawn, pop"
Other,"contemporary country, outlaw country"
Other,"contemporary country, country, pop, texas country"
Other,"contemporary country, country, pop"
Other,"contemporary country, country, country road, pop, texas country"
Other,"contemporary country, country, country road, pop"
Other,"contemporary country, country, country road, oklahoma country"
Rock,"contemporary country, country, country road, modern country rock"
Other,"contemporary country, country, country road"
Rock,"contemporary country, country, country pop, country road, modern country rock"
Other,"contemporary country, country, country pop, country road"
Other,"contemporary country, country, country dawn, country pop, country road"
Other,"contemporary country, country"
Hip-Hop,"conscious hip hop, hip hop, rap, west coast rap"
Hip-Hop,"conscious hip hop, hip hop, rap, underground hip hop"
Hip-Hop,"conscious hip hop, hip hop, pop rap, rap"
Hip-Hop,"conscious hip hop, hip hop, north carolina hip hop, rap"
Hip-Hop,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop"
Hip-Hop,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"conscious hip hop, escape room, hip hop, rap, underground hip hop"
Other,"conscious hip hop, east coast hip hop, old school hip hop"
Hip-Hop,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap"
Hip-Hop,"conscious hip hop, dmv rap, hip hop, pop rap, rap"
International,"complextro, dance pop, edm, electro house, electropop, german techno, pop, pop dance, pop rap, uk pop"
International,"complextro, dance pop, edm, electro house, electropop, german techno, pop, pop dance, pop rap, tropical house, uk pop"
Hip-Hop,"comedy rap, pop rap, rap"
International,"colombian pop, reggaeton, reggaeton flow, trap latino"
International,"colombian pop, reggaeton, reggaeton colombiano, trap latino"
International,"colombian pop, reggaeton colombiano"
International,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino"
International,"colombian pop, pop"
International,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino"
International,"colombian pop, dance pop, latin pop"
International,"colombian hip hop, dominican pop, latin pop, reggaeton, reggaeton colombiano, trap latino"
International,"colombian hip hop, colombian pop, colombian rock, latin alternative, latin pop, reggaeton colombiano, salsa choke, tropical"
International,"classical tenor, italian tenor, operatic pop"
International,"classic uk pop, new wave pop, rock-and-roll, rockabilly, soft rock"
International,"classic uk pop, new wave pop"
Other,"classic soul, jazz blues, memphis soul, soul, southern soul"
Rock,"classic rock, heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
Rock,"classic rock, glam rock, rock"
International,"classic arab pop, rai"
International,"circuit, guaracha, perreo"
International,"christlicher rap, german hip hop"
Dance,chinese electropop
Other,"chill r&b, pop r&b, post-teen pop, r&b, urban contemporary"
Other,"chill r&b, pop"
Other,"chill pop, pop"
International,"chilean hardcore, trap latino"
Other,"chihuahua indie, indie triste, mexican indie"
Hip-Hop,chicano rap
Other,"chicago soul, classic soul, funk, neo soul, quiet storm, soul"
Hip-Hop,"chicago rap, rap"
Hip-Hop,"chicago rap, melodic rap, pop rap, rap, trap, vapor trap"
Hip-Hop,"chicago rap, melodic rap"
Hip-Hop,"chicago rap, drill, rap, southern hip hop, trap, underground hip hop, vapor trap, viral rap"
Hip-Hop,"chicago rap, dance pop, pop, pop rap, r&b, urban contemporary"
Hip-Hop,"chicago rap, conscious hip hop, hip hop, pop rap, rap"
Hip-Hop,chicago rap
Other,chicago indie
Other,chicago house
Hip-Hop,"chicago drill, chicago rap, drill, hip hop, rap, trap"
Hip-Hop,"chicago drill, chicago rap, drill, hip hop, rap, southern hip hop, trap"
Hip-Hop,"chicago bop, chicago drill, chicago rap, drill, hip hop, rap, southern hip hop, trap, underground hip hop"
Other,channel pop
Other,"channel islands indie, hyperpop, vapor soul"
International,"champeta, colombian pop, latin pop, tropical, vallenato"
International,"champeta, colombian pop, electro latino, latin pop, reggaeton, reggaeton colombiano"
International,"celtic, celtic punk, celtic rock, folk punk, irish folk, punk"
International,"celtic rock, neo mellow, pop, pop rock, uk pop"
Other,"candy pop, pixie, pop emo, pop punk"
International,"canadian pop, pop"
International,"canadian pop, dance pop, pop, viral pop"
International,"canadian pop, candy pop, dance pop, pop, post-teen pop"
International,canadian pop
International,"canadian old school hip hop, reggae fusion"
International,"canadian latin, canadian pop, dance pop, pop, pop rap"
International,"canadian hip hop, trap soul"
International,"canadian hip hop, pop"
International,"canadian hip hop, dark trap, vapor trap"
International,"canadian hip hop, canadian trap, pop rap, toronto rap, trap, trap soul"
International,"canadian hip hop, canadian trap, melodic rap, pop, pop rap, r&b, rap, toronto rap, trap"
International,"canadian hip hop, canadian trap, hip hop, melodic rap, rap, toronto rap, trap"
International,"canadian hip hop, canadian trap"
International,"canadian hip hop, canadian pop, hip hop, rap, toronto rap"
International,"canadian electronic, electro house, electronic trap, turntablism"
International,"canadian electronic, electro house"
International,"canadian electronic, dance pop, edm, electro house, electropop, pop, pop dance, pop edm, progressive electro house, slap house, tropical house"
International,"canadian country, canadian pop, country, country dawn, dance pop"
International,"canadian country, canadian pop, country, country dawn"
International,"canadian contemporary r&b, pop, r&b"
International,"canadian contemporary r&b, canadian pop, pop, r&b"
International,"canadian contemporary r&b, canadian pop, pop"
International,"canadian contemporary r&b, canadian pop, dance pop, electropop, pop, post-teen pop, uk pop"
International,"canadian contemporary r&b, canadian hip hop, toronto rap, trap soul"
Other,cameroonian pop
Hip-Hop,"cali rap, underground hip hop"
Hip-Hop,"cali rap, trap, vapor trap, viral rap"
Hip-Hop,"cali rap, trap"
Hip-Hop,"cali rap, pop, pop rap, rap"
Hip-Hop,"cali rap, pop rap, sacramento hip hop, southern hip hop, trap"
Hip-Hop,"cali rap, oakland hip hop, scam rap, trap soul, underground hip hop, vapor trap"
Hip-Hop,"cali rap, melodic rap, pop, pop rap, rap, trap"
Hip-Hop,"cali rap, hip hop, pop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"cali rap, gangster rap, hip hop, pop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"cali rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"cali rap, dfw rap, rap, trap, vapor trap, viral rap"
Hip-Hop,"cali rap, dance pop, pop, rap, trap queen"
Hip-Hop,cali rap
International,"bubblegum dance, eurodance, europop, italian adult pop, italo dance"
International,"bubblegum dance, eurodance, europop"
Rock,"bubblegrunge, chicago indie, indie pop, indie rock"
Dance,"brostep, dance pop, edm, pop, pop dance, progressive electro house"
Dance,"brostep, complextro, edm, electro"
Hip-Hop,"brooklyn drill, nyc rap"
Hip-Hop,"brooklyn drill, new york drill, rap, trap"
Hip-Hop,"brooklyn drill, melodic rap, nyc rap"
Other,brooklyn drill
Other,"broadway, hollywood, show tunes"
International,"british soul, pop, pop soul, uk pop"
International,"british soul, dance pop, uk pop"
International,"british soul, dance pop, europop, neo mellow, pop, post-teen pop, talent show, uk pop"
Other,british soul
International,"british indie rock, modern rock, rock"
Other,"brill building pop, classic girl group, soul"
Other,"brega funk, funk carioca"
Other,brega funk
Other,"brazilian hip hop, funk ostentacao"
International,"brazilian edm, pop nacional"
International,"brazilian edm, nova mpb"
Other,"boy band, pop, post-teen pop, talent show"
International,"boy band, latin pop, reggaeton"
Hip-Hop,"boy band, hip hop, pop, rap"
International,"boy band, dance pop, pop, post-teen pop, uk pop"
Other,"boy band, dance pop"
Hip-Hop,"boston hip hop, hip hop, pop rap, rap"
Other,"boom bap, east coast hip hop, hardcore hip hop"
International,"bolobedu house, south african house"
International,"bolero, latin pop, puerto rican pop"
Rock,"blues rock, classic rock, rock, rock-and-roll, rockabilly"
Rock,"blues rock, classic rock, mexican classic rock"
Hip-Hop,"black americana, country rap"
Other,"black americana, contemporary country, country, country road"
Hip-Hop,"birmingham grime, grime, instrumental grime, rap"
International,"big room, edm, electro house, funky tech house, german techno, pop dance, pop edm, progressive electro house, progressive house"
Dance,"big room, dance pop, edm, pop, pop dance"
Dance,"big room, dance pop, dutch house, edm, electro house, pop dance, pop rap, progressive house, tropical house"
Dance,"big room, dance pop, dutch edm, edm, electro house, house, pop dance, pop edm, progressive electro house, progressive house, tropical house"
Dance,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house"
Dance,"bergen indie, electropop, nz pop"
International,"belgian pop, variete francaise"
International,"belgian hip hop, french hip hop, pop urbaine, rap belge, rap francais"
International,"belgian hip hop, french hip hop, pop urbaine, rap belge, rap conscient"
International,belgian edm
International,"belgian dance, belgian edm, big room, dance pop, edm, electro house, pop dance, progressive electro house, tropical house"
Other,"bedroom soul, pop"
Other,"bedroom soul, chill r&b, pop"
Other,"bedroom pop, pop"
Other,"bedroom pop, indie pop, pop"
Rock,"bedroom pop, indie pop, indie poptimism, modern rock"
Other,"bedroom pop, indie pop"
Other,"bedroom pop, bubblegrunge, indie pop, pop"
Rock,"beatlesque, experimental rock"
Rock,"beatlesque, britpop, madchester, permanent wave, pop rock, rock"
Other,beatlesque
Other,"bboy, funk, instrumental funk, modern funk"
Hip-Hop,"battle rap, dirty south rap, pop rap, rap, southern hip hop, trap"
Hip-Hop,"baton rouge rap, trap"
Hip-Hop,baton rouge rap
International,"basshall, turkish trap"
Other,"basshall, francoton, pop urbaine"
Hip-Hop,"basshall, dutch hip hop, dutch house, dutch rap pop"
Other,"basshall, dancehall"
Other,basshall
International,"baroque pop, pop, uk alternative pop"
Rock,"baroque pop, brill building pop, classic rock, psychedelic rock, rock, sunshine pop"
Other,"barbadian pop, dance pop, pop, urban contemporary"
Other,"banda, musica mexicana, norteno"
International,"bachata, latin hip hop, latin pop"
Other,"bachata, hollywood, show tunes"
Other,bachata
International,"australian rock, hard rock, rock"
International,"australian psych, neo-psychedelic"
International,"australian pop, pop, uk pop"
International,"australian pop, pop soul"
International,"australian pop, pop"
International,"australian pop, dance pop, pop, viral pop"
International,"australian pop, dance pop, pop, post-teen pop, social media pop, teen pop"
International,"australian pop, dance pop, neo mellow, pop, uk pop"
International,"australian pop, dance pop, neo mellow, pop, pop dance, post-teen pop, tropical house, uk pop"
International,"australian pop, dance pop, edm, electropop, pop, pop rap, post-teen pop, tropical house, uk pop"
International,"australian pop, channel pop, neo mellow, pop rock, post-teen pop, uk pop, viral pop"
International,"australian pop, boy band, dance pop, pop, post-teen pop, uk pop"
International,"australian pop, australian talent show"
International,australian pop
International,"australian hip hop, pop"
International,"australian hip hop, dance pop, hip pop, pop, pop rap, post-teen pop, rap, uk pop, viral rap"
International,australian hip hop
International,"australian dance, australian pop, dance pop, pop"
International,"australian dance, australian pop, dance pop, electropop, eurodance, europop, new wave pop, pop, uk pop"
International,"australian dance, australian electropop, australian indie, downtempo, edm"
International,australian dance
International,"australian country, australian pop, contemporary country, country, country road"
International,"aussietronica, australian pop, dance pop, deep tropical house, edm, electropop, pop dance, pop edm, tropical house, uk pop"
Hip-Hop,"atl trap, houston rap, memphis hip hop, vapor trap"
Hip-Hop,"atl trap, drill, gangster rap, pop rap, rap, southern hip hop, trap, vapor trap"
Hip-Hop,atl trap
Hip-Hop,"atl hip hop, rap, trap"
Hip-Hop,"atl hip hop, rap, southern hip hop, trap"
Hip-Hop,"atl hip hop, pop rap, rap, southern hip hop, trap, underground hip hop"
Hip-Hop,"atl hip hop, plugg, pluggnb, rap"
Hip-Hop,"atl hip hop, melodic rap, rap, southern hip hop, trap, underground hip hop, vapor trap, viral rap"
Hip-Hop,"atl hip hop, lgbtq+ hip hop, trap"
Hip-Hop,"atl hip hop, hip hop, rap, southern hip hop, trap"
Hip-Hop,"atl hip hop, hip hop, psychedelic hip hop, rap, underground hip hop"
Hip-Hop,"atl hip hop, hip hop, pop, rap"
Hip-Hop,"atl hip hop, hip hop, pop rap, rap, trap"
Hip-Hop,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"atl hip hop, hip hop, melodic rap, rap, trap, viral rap"
Hip-Hop,"atl hip hop, hip hop, melodic rap, rap, trap, underground hip hop, viral rap"
Hip-Hop,"atl hip hop, hip hop, melodic rap, rap, trap"
Hip-Hop,"atl hip hop, hip hop, melodic rap, pop, r&b, rap, trap"
Hip-Hop,"atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap"
Hip-Hop,"atl hip hop, hip hop, melodic rap, pop r&b, pop rap, r&b, rap, southern hip hop, trap, viral rap"
Hip-Hop,"atl hip hop, hip hop, melodic rap, plugg, pop rap, rap, southern hip hop, trap, vapor trap, viral rap"
Hip-Hop,"atl hip hop, hip hop, melodic rap, plugg, pop rap, rap, southern hip hop, trap, vapor trap"
Hip-Hop,"atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop"
Hip-Hop,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"atl hip hop, dance pop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Other,"atl hip hop, contemporary r&b, hip pop, pop r&b, r&b, urban contemporary"
Other,"atl hip hop, contemporary r&b, dance pop, pop, r&b, south carolina hip hop, urban contemporary"
Hip-Hop,"atl hip hop, atl trap, rap, trap"
Hip-Hop,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, pop rap, rap, southern hip hop, trap"
Other,atl hip hop
Rock,"art rock, classic rock, glam rock, permanent wave, rock"
Other,"art pop, pop"
Other,"art pop, norwegian pop"
Other,"art pop, metropopolis, nz pop, pop, yakut pop"
Dance,"art pop, electropop, pop"
Other,"art pop, dance pop, pop"
International,"art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop"
International,"arrochadeira, brega funk, funk carioca"
International,"arrochadeira, brega funk"
International,"arrocha, sertanejo, sertanejo universitario"
International,"arrocha, sertanejo, sertanejo pop, sertanejo universitario"
International,"arrocha, sertanejo universitario"
International,"arrocha, sertanejo"
International,"arrocha, pop nacional, sertanejo pop, sertanejo universitario"
International,"arrocha, piseiro"
International,"arrocha, funk carioca, funk ostentacao, funk pop"
International,"arrocha, forro, sertanejo, sertanejo pop, sertanejo universitario"
International,"arrocha, forro, piseiro"
International,"arrocha, forro de favela, funk carioca"
International,"arrocha, forro"
International,"arrocha, brega funk"
International,arrocha
International,"argentine indie, trap argentino"
International,"argentine hip hop, trap argentino, trap latino, trap triste"
International,"argentine hip hop, trap argentino, trap latino"
International,"argentine hip hop, rap latina, reggaeton, trap argentino, trap latino"
International,"argentine hip hop, r&b argentino, trap argentino, trap latino"
International,"argentine hip hop, pop venezolano, trap argentino"
International,"argentine hip hop, bases de freestyle, trap argentino, trap latino"
Rock,"alternative rock, dance rock, permanent wave, rock"
Rock,"alternative rock, dance rock, permanent wave"
Hip-Hop,"alternative r&b, lgbtq+ hip hop, nyc rap, pop rap, rap, trap, viral rap"
Hip-Hop,"alternative r&b, indie r&b, pop, post-teen pop, r&b, rap, urban contemporary"
Hip-Hop,"alternative r&b, indie r&b, indie soul, underground hip hop"
Hip-Hop,"alternative r&b, escape room, lgbtq+ hip hop, pop, trap queen, viral rap"
Hip-Hop,"alternative r&b, escape room, indie soul, rap"
Hip-Hop,"alternative r&b, detroit hip hop, hip pop, pop r&b, r&b, rap, trap queen"
Hip-Hop,"alternative r&b, chill r&b, indie r&b, indie soul, lgbtq+ hip hop, r&b"
Hip-Hop,"alternative r&b, art pop, escape room"
Dance,"alternative r&b, art pop, chillwave, electropop, escape room, etherpop, indie pop, pop, shiver pop"
Rock,"alternative pop rock, pop"
Hip-Hop,"alternative metal, nu metal, rap metal"
Hip-Hop,"alternative metal, nu metal, post-grunge, rap metal"
International,"alternative metal, german metal, industrial, industrial metal, industrial rock, neue deutsche harte"
Hip-Hop,"alternative hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop, trap, virginia hip hop"
Hip-Hop,"alternative hip hop, east coast hip hop, hardcore hip hop, hip hop, neo soul, queens hip hop"
Hip-Hop,"alternative hip hop, east coast hip hop, hardcore hip hop, hip hop"
Hip-Hop,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop"
Hip-Hop,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
Hip-Hop,"alternative hip hop, detroit hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop"
Hip-Hop,"alternative hip hop, conscious hip hop, hip hop, psychedelic hip hop, rap, southern hip hop, underground hip hop"
Hip-Hop,"alternative hip hop, conscious hip hop, escape room, hip hop, rap, southern hip hop, underground hip hop"
Hip-Hop,"alternative hip hop, boom bap, east coast hip hop, hip hop"
Hip-Hop,"alternative hip hop, battle rap, hardcore hip hop"
Hip-Hop,"alternative hip hop, atl hip hop, conscious hip hop, escape room, old school atlanta hip hop, political hip hop, southern hip hop"
Hip-Hop,alternative hip hop
International,"alternative dance, australian dance, filter house, indietronica, new rave, nu disco"
Other,alte
Pop,"alt z, pop, uk pop"
Other,"alt z, pop"
Other,"alt z, nz pop, pop"
Other,"alt z, modern alternative pop"
Other,"alt z, la pop"
Pop,"alt z, gen z singer-songwriter, pop, uk pop"
Other,"alt z, gen z singer-songwriter, indie pop, modern indie pop, pop"
Pop,"alt z, electropop, pop, uk pop"
Pop,"alt z, electropop, pop, tropical house, uk pop"
Pop,"alt z, electropop, pop, swedish pop, uk pop"
Dance,"alt z, electropop, pop"
Pop,"alt z, electropop, indie poptimism, uk pop"
Pop,"alt z, electropop, indie poptimism, pop, post-teen pop, uk pop"
Pop,"alt z, electropop, indie poptimism, indietronica, pop, post-teen pop, social media pop, uk pop"
Pop,"alt z, electropop, indie electropop, indie poptimism, uk pop"
Pop,"alt z, electropop, indie electropop, indie poptimism, la pop, pop, uk pop, vapor soul"
Dance,"alt z, dream smp, electropop, pop"
Dance,"alt z, deep pop edm, electropop, indie poptimism, pop"
Other,"alt z, dark pop, pop, post-teen pop"
Pop,"alt z, dance pop, pop, post-teen pop, uk pop"
Other,"alt z, dance pop, pop, post-teen pop, social media pop"
Pop,"alt z, dance pop, norwegian pop, pop, tropical house, uk pop"
Pop,"alt z, dance pop, electropop, pop, post-teen pop, uk pop"
Dance,"alt z, dance pop, electropop, pop, post-teen pop"
Pop,"alt z, dance pop, electropop, indie poptimism, pop, uk pop"
Pop,"alt z, dance pop, electropop, indie poptimism, pop, post-teen pop, talent show, uk pop"
Dance,"alt z, dance pop, electropop, indie poptimism, pop"
Pop,"alt z, dance pop, edm, electropop, pop, pop dance, post-teen pop, tropical house, uk pop"
International,"alt z, canadian pop, electropop, pop, post-teen pop, uk pop"
International,"alt z, canadian contemporary r&b, neo mellow, pop, uk pop"
Dance,"alt z, brooklyn indie, dark pop, electropop, indie electropop, indie pop, indie poptimism, metropopolis, nyc pop, pop, vapor pop, vapor soul"
International,"alt z, australian pop, electropop, pop, post-teen pop, swedish pop, viral pop"
International,"alt z, australian pop, electropop, pop, post-teen pop, swedish electropop"
International,"alt z, australian pop, dance pop, electropop, nyc pop, pop, pop dance, pop edm, post-teen pop, tropical house, uk pop"
Dance,"alt z, art pop, electropop, indie pop, indie poptimism, nyc pop, pop"
Rock,"album rock, classic rock, rock, soft rock, yacht rock"
Rock,"album rock, classic rock, permanent wave, rock"
Rock,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock"
Rock,"album rock, classic rock, mellow gold, new wave pop, rock, soft rock, yacht rock"
Rock,"album rock, classic rock, hard rock, mellow gold, rock, soft rock"
Rock,"album rock, classic rock, country rock, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
Rock,"album rock, classic rock, country rock, folk rock, heartland rock, mellow gold, pop rock, rock, singer-songwriter, soft rock"
Rock,"album rock, birmingham metal, hard rock, metal, rock"
Rock,"album rock, beatlesque, classic rock, folk rock, mellow gold, rock, soft rock"
Rock,"album rock, art rock, blues rock, classic rock, mellow gold, soft rock, sophisti-pop"
Rock,"album rock, art rock, blues rock, classic rock, mellow gold, new wave pop, soft rock, sophisti-pop"
Rock,"album rock, art rock, beatlesque, classic rock, mellow gold, rock"
International,alberta hip hop
International,"albanian hip hop, kosovan pop"
International,"albanian hip hop, german hip hop"
International,"albanian hip hop, german drill, german hip hop"
Hip-Hop,"alabama rap, rap, trap, vapor trap, viral rap"
Hip-Hop,alabama rap
International,"afroswing, uk dancehall, uk hip hop"
International,"afroswing, london rap, uk hip hop"
International,"afroswing, grime, uk hip hop"
International,"afroswing, grime, london rap, uk alternative hip hop, uk hip hop"
Other,afroswing
Other,"afropop, malian blues, mande pop, wassoulou, world"
Hip-Hop,"afrofuturismo brasileiro, bass trap, electronic trap, funk carioca, pop nacional"
Other,"afrofuturism, pop"
Other,"afrofuturism, alternative r&b, dance pop, escape room, hip pop, indie soul, neo soul, pop, r&b, urban contemporary"
Other,"afrofuturism, alternative r&b, art pop, escape room, experimental r&b, pop, trip hop"
International,"afro soul, south african pop"
International,"afro house, deep house, south african house, south african pop dance"
Other,"afro dancehall, dancehall, nigerian hip hop, nigerian pop"
International,"afro dancehall, azonto, dance pop, uk pop"
International,"afro dancehall, afropop, ghanaian hip hop, nigerian pop, swedish dancehall"
Other,"afro dancehall, afropop, azonto, nigerian hip hop, nigerian pop"
Hip-Hop,"aesthetic rap, meme rap, viral rap"
Other,"adult standards, lounge, vocal jazz"
Other,"adult standards, lounge, torch song, vocal jazz"
Other,"adult standards, jump blues, lounge, swing, vocal jazz"
Other,"adult standards, jazz trio, lounge"
Other,"adult standards, jazz blues, lounge, swing, vocal jazz"
Other,"adult standards, hollywood, lounge, torch song, vocal jazz"
Other,"adult standards, easy listening, lounge, vocal jazz"
Other,"adult standards, easy listening, lounge"
Rock,"adult standards, disco, jazz funk, jazz guitar, quiet storm, smooth jazz, soul jazz, yacht rock"
Other,"adult standards, cowboy western, oklahoma country, traditional country, yodeling"
International,"adult standards, canadian pop, jazz pop, lounge"
Other,"adult standards, brill building pop, easy listening, lounge, vocal jazz"
Rock,"adult standards, brill building pop, easy listening, lounge, rockabilly"
Other,"adult standards, brill building pop, easy listening, lounge, mellow gold"
Other,"adult standards, brill building pop"
Other,"adult standards, american folk revival, lounge"
Rock,"acoustic pop, neo mellow, pop, pop rock"
Other,a cappella
